,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
variável,média,desvio_padrao,assimetria,curtose,valor_min,90%,99%,valor_max,amplitude,moda_valor,frequência_moda,frequência_total
ENERGYSTARScore(DataYear=2019),72.2774,22.3582,-1.1899,1.0632,1.0,97.0,100.0,100.0,99.0,73.1993,437,2186
ENERGYSTARScore(DataYear=2020),74.1435,21.0918,-1.2919,1.5949,1.0,97.0,100.0,100.0,99.0,73.1993,437,2186
ENERGYSTARScore(DataYear=2021),73.2805,22.2431,-1.2554,1.2964,1.0,97.0,100.0,100.0,99.0,73.1993,437,2186
ENERGYSTARScore(DataYear=2022),72.7405,22.3977,-1204,1.1058,1.0,97.0,100.0,100.0,99.0,73.1993,437,2186
ENERGYSTARScore(CouncilDistrictCode=1),73.7113,21.5177,-1.1867,1.2417,1.0,98.0,100.0,100.0,99.0,73.1993,700,3158
ENERGYSTARScore(CouncilDistrictCode=2),66.4559,22.8257,-0.9567,0.4561,1.0,93.0,100.0,100.0,99.0,73.1993,161,694
ENERGYSTARScore(CouncilDistrictCode=3),71164,23.9533,-1.2065,0.8874,1.0,96.0,100.0,100.0,99.0,73.1993,202,1254
ENERGYSTARScore(CouncilDistrictCode=4),74192,22.5886,-1.1867,0.9596,1.0,98.0,100.0,100.0,99.0,73.1993,117,694
ENERGYSTARScore(CouncilDistrictCode=5),75.3639,18563,-1.4728,2.2722,2.0,95.0,99.0,100.0,98.0,73.1993,104,768
ENERGYSTARScore(CouncilDistrictCode=6),71.5815,24.4159,-1173,0.7776,1.0,97.0,100.0,100.0,99.0,73.1993,109,545
ENERGYSTARScore(CouncilDistrictCode=7),75.2647,20894,-1.4029,1.9616,1.0,97.0,100.0,100.0,99.0,73.1993,355,1631
ENERGYSTARScore(YearBuilt=1900-1915),73.2458,20.7684,-1.4309,2251,1.0,95.9,100.0,100.0,99.0,73.1993,212,732
ENERGYSTARScore(YearBuilt=1916-1931),69.5182,22.8333,-1.2079,1104,1.0,95.0,100.0,100.0,99.0,73.1993,212,784
ENERGYSTARScore(YearBuilt=1932-1946),65.52,23278,-1.0966,0.9731,1.0,93.8,100.0,100.0,99.0,73.1993,64,213
ENERGYSTARScore(YearBuilt=1947-1962),69.3761,21.5949,-1.1666,1.0185,1.0,93.0,100.0,100.0,99.0,73.1993,212,1104
ENERGYSTARScore(YearBuilt=1963-1978),69.0511,23.3185,-1.0969,0.5025,1.0,94.0,100.0,100.0,99.0,73.1993,188,1463
ENERGYSTARScore(YearBuilt=1979-1994),73.5573,20.6059,-1.1999,1.2712,1.0,97.0,100.0,100.0,99.0,73.1993,440,1916
ENERGYSTARScore(YearBuilt=1995-2010),79.8634,20.9567,-1.5266,2.2267,1.0,99.0,100.0,100.0,99.0,73.1993,324,2085
ENERGYSTARScore(NumberofFloors=0),65.0997,16.7131,-1.2455,1.2076,25.0,76.5598,89.55,93.0,68.0,73.1993,12,24
ENERGYSTARScore(NumberofFloors=1),62.5354,22.4623,-1.1701,0.6032,1.0,84.0,95.0,98.0,97.0,73.1993,308,980
ENERGYSTARScore(NumberofFloors=2),66.4929,20.4731,-1.21,1.3507,2.0,87.0,99.41,100.0,98.0,73.1993,292,860
ENERGYSTARScore(NumberofFloors=3),71.0198,22.1724,-1.2162,1.0756,1.0,95.0,100.0,100.0,99.0,73.1993,332,1784
ENERGYSTARScore(NumberofFloors=4),75772,20.0742,-1.3523,1.8138,1.0,97.0,100.0,100.0,99.0,73.1993,368,2060
ENERGYSTARScore(NumberofFloors=5),78.2108,19.3485,-1.4549,2.2727,1.0,98.0,100.0,100.0,99.0,73.1993,156,864
ENERGYSTARScore(NumberofFloors=6),80.2567,20.2728,-1.6375,2.8737,1.0,99.0,100.0,100.0,99.0,73.1993,160,932
ENERGYSTARScore(NumberofFloors=7),84344,18.1456,-1.5292,2234,11.0,100.0,100.0,100.0,89.0,100.0,85,508
ENERGYSTARScore(NumberofFloors=8),75.6365,27.3569,-1361,0.7128,1.0,99.7,100.0,100.0,99.0,73.1993,32,164
ENERGYSTARScore(NumberofFloors=9),81.9187,17.8803,-1.2156,0.7828,28.0,98.7,100.0,100.0,72.0,"[96.0, 94.0]",5,64
ENERGYSTARScore(NumberofFloors=10),66.6468,25.6819,-0.9242,-0.1373,1.0,93.0,100.0,100.0,99.0,73.1993,40,504
ENERGYSTARScore(NumberofBuildings=1),73.0209,22.2311,-1.2325,1.2061,1.0,97.0,100.0,100.0,99.0,73.1993,1606,8363
ENERGYSTARScore(NumberofBuildings=2),75.0037,19.9237,-0.9312,0.7518,16.0,99.0,100.0,100.0,84.0,73.1993,52,168
ENERGYSTARScore(NumberofBuildings=3),79.9246,11.7179,0.2901,-0.8594,55.0,98.0,100.0,100.0,45.0,73.1993,28,63
ENERGYSTARScore(NumberofBuildings=4),77.6229,13426,-0.1688,-0.0245,44.0,95.9,99.0,99.0,55.0,73.1993,12,52
ENERGYSTARScore(NumberofBuildings=5),70.7343,15.6538,-1.5738,3.1275,17.0,85.0,100.0,100.0,83.0,73.1993,50,98
